size,direction,iat
0.8399758,0.34605545,0.09217289
0.27250263,1.6582532,-0.56205904
0.4642382,0.08924921,0.10884206
1.2949045,1.6508411,-0.19929878
0.79783964,0.80256784,0.21048367
-0.5345654,-0.61701345,-0.16075501
-0.35024357,1.6306955,-0.5874692
0.26233777,1.6759797,-0.100483425
0.7052492,0.6836998,0.5752754
0.45209506,-1.0431628,-0.26414415
0.7103855,1.5207826,-0.43033296
1.2292255,0.31200826,0.8733113
0.21211876,-1.0221999,-0.28293726
0.5367447,1.7276134,-0.5710783
1.2060462,1.0663652,-0.07560937
1.3395078,0.35077053,-0.20080149
1.8688265,1.7728997,-0.6914776
1.2194318,0.98704845,-0.5899583
1.092922,1.493757,-0.49347502
0.80081403,0.8776585,0.0028422028
1.4905537,1.0807619,-0.5209418
1.7254845,0.8020542,0.17930345
2.1279297,0.3821907,-0.3532206
1.599875,0.6070851,0.20017365
1.4020599,-0.9438476,-0.1727175
1.869224,0.44091696,-0.4312061
1.0205803,-1.2455144,-0.13291262
1.2675806,0.73407924,-0.20795201
0.6140275,-1.1398216,-0.07230899
1.018742,-0.1915647,0.14330392
0.22473778,-1.1929594,-0.10574075
0.21755557,0.16237974,-0.12861094
0.07345831,-0.69882584,0.23406719
0.44840032,0.9328269,-0.39318353
0.4173595,-0.5212148,0.02516913
0.693689,1.6227001,-0.710804
1.0866833,0.7441007,0.4814504
0.03835242,-0.10293287,-0.7943598
0.8524787,2.0070481,-0.25496498
0.6881544,0.38356066,0.43904254
0.7906973,1.4945179,0.19492403
1.6002755,1.1914432,0.3134336
2.5726285,0.50716645,0.39612326
2.5159705,-0.21765107,0.8741058
1.7234018,-1.5939292,-0.11160923
0.01745928,-0.03526898,-0.3446665
0.380321,0.30453214,1.0198662
1.4704442,1.2077777,-1.658435
0.0,0.0,0.0
0.0,0.0,0.0
